datetime,arithmetic_mean,aqi,first_max_value,first_max_hour,county_code,state_code,parameter_code,parameter,sample_duration_code,sample_duration,pollutant_standard,units_of_measure
2022-07-28,14.0,13.0,14.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-07-31,11.333333333333334,10.666666666666666,11.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-08-03,8.0,7.333333333333333,8.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-08-06,7.666666666666667,7.0,7.666666666666667,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-08-09,12.0,11.0,12.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-08-12,8.0,7.333333333333333,8.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-08-15,8.333333333333334,7.666666666666667,8.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-08-18,9.0,8.333333333333334,9.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-08-21,10.666666666666666,10.0,10.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-08-24,10.666666666666666,10.0,10.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-08-27,8.666666666666666,8.0,8.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-08-30,10.666666666666666,10.0,10.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-09-02,11.333333333333334,10.666666666666666,11.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-09-05,10.333333333333334,9.666666666666666,10.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-09-08,17.666666666666668,16.333333333333332,17.666666666666668,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-09-11,8.666666666666666,8.0,8.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-09-14,9.666666666666666,9.0,9.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-09-17,10.333333333333334,9.666666666666666,10.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-09-20,7.0,6.333333333333333,7.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-09-23,8.333333333333334,7.666666666666667,8.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-09-26,9.333333333333334,8.666666666666666,9.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-09-29,7.666666666666667,7.0,7.666666666666667,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-10-02,8.333333333333334,7.666666666666667,8.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-10-05,11.0,10.333333333333334,11.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-10-08,10.333333333333334,9.666666666666666,10.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-10-11,14.666666666666666,13.666666666666666,14.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-10-17,11.0,10.333333333333334,11.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-10-20,12.0,11.0,12.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-10-23,7.0,6.333333333333333,7.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-10-26,8.0,7.333333333333333,8.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-10-29,9.333333333333334,8.666666666666666,9.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-11-01,10.666666666666666,10.0,10.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-11-04,12.333333333333334,11.333333333333334,12.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-11-13,10.666666666666666,10.0,10.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-11-16,18.333333333333332,17.0,18.333333333333332,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-11-19,16.0,14.666666666666666,16.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-11-22,19.333333333333332,18.0,19.333333333333332,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-11-25,11.333333333333334,10.666666666666666,11.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-11-28,8.0,7.333333333333333,8.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-12-01,7.666666666666667,7.0,7.666666666666667,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-12-04,6.0,5.666666666666667,6.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-12-07,8.0,7.333333333333333,8.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-12-10,7.0,6.333333333333333,7.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-12-13,11.0,10.333333333333334,11.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-12-16,27.333333333333332,23.333333333333332,27.333333333333332,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-12-19,18.0,16.666666666666668,18.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-12-22,18.666666666666668,17.333333333333332,18.666666666666668,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
