code,name
16750,3-Nitroaniline  (TSP) STP
16751,"4,6-Dinitro-2-methylphenol  (TSP) STP"
16752,4-Aminobiphenyl  (TSP) STP
16753,4-Bromophenyl phenyl ether  (TSP) STP
16754,4-Chloro-3-methylphenol  (TSP) STP
16755,4-Chloroaniline  (TSP) STP
16756,4-Chlorophenyl-phenyl ether  (TSP) STP
16757,4-Dimethylaminoazobenzene  (TSP) STP
16758,4-Nitroaniline  (TSP) STP
16759,4-Nitrophenol  (TSP) STP
16760,5-Nitro-o-toluidine  (TSP) STP
16761,"7,12-Dimethylbenz[a]anthracene  (TSP) STP"
16762,Acetophenone  (TSP) STP
16763,Aniline  (TSP) STP
16764,Azobenzene  (TSP) STP
16765,Benzidine  (TSP) STP
16766,Benzyl alcohol  (TSP) STP
16767,bis (2-chloroethyl)ether  (TSP) STP
16768,bis(2-chloroethoxy)methane  (TSP) STP
16769,bis(2-chloroisopropyl)ether  (TSP) STP
16770,bis(2-ethylhexyl)phthalate  (TSP) STP
16771,Butyl benzyl phthalate  (TSP) STP
16772,Carbazole (TSP) STP
16773,Chlorobenzilate  (TSP) STP
16774,Diallate  (TSP) STP
16775,Diethyl phthalate  (TSP) STP
16776,Dimethyl phthalate  (TSP) STP
16777,Di-n-butyl phthalate  (TSP) STP
16778,Di-n-octyl phthalate  (TSP) STP
16779,Dinoseb  (TSP) STP
16780,Diphenylamine  (TSP) STP
16781,Ethyl methanesulfonate  (TSP) STP
16782,Hexachlorobutadiene  (TSP) STP
16783,Hexachloropropene  (TSP) STP
16784,Isodrin  (TSP) STP
16785,Isosafrole  (TSP) STP
16786,m and p-Cresol  (TSP) STP
16787,Methyl methanesulfonate  (TSP) STP
16788,Nitrobenzene (TSP) STP
16789,N-Nitrosodibutylamine  (TSP) STP
16790,N-Nitrosodiethylamine  (TSP) STP
16791,N-Nitrosodipropylamine  (TSP) STP
16792,N-Nitrosomethylethylamine  (TSP) STP
16793,N-Nitrosopiperidine  (TSP) STP
16794,N-Nitrosopyrrolidine  (TSP) STP
16795,Pentachloroethane  (TSP) STP
16796,Phenacetin  (TSP) STP
16797,Phenol  (TSP) STP
16798,Pronamide (TSP) STP
16799,Pyridine (TSP) STP
16801,Safrole (TSP) STP
16807,Hexachloroethane (TSP) STP
16822,"1,2-Dichlorotetrafluoroethane"
16826,Hexachlorocyclopentadiene (TSP) STP
16901,Epichlorohydrin(DUP)
16906,"1,4-Dioxin"
16914,Isophorone (TSP) STP
16915,2-Methylnaphthalene (TSP) STP
16916,Freon 12
16917,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (TSP) STP"
16918,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (TSP) STP"
16919,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin (TSP) STP"
16920,"1,2,3,7,8-Pentachlorodibenzofuran (TSP) STP"
16921,"2,3,4,7,8-Pentachlorodibenzofuran (TSP) STP"
16922,"1,2,3,4,7,8-Hexachlorodibenzofuran (TSP) STP"
16923,"1,2,3,6,7,8-Hexachlorodibenzofuran (TSP) STP"
16924,"2,3,4,6,7,8-Hexachlorodibenzofuran (TSP) STP"
16925,"1,2,3,7,8,9-Hexachlorodibenzofuran (TSP) STP"
16926,"1,2,3,4,6,7,8-Heptachlorodibenzofuran (TSP) STP"
16927,"1,2,3,4,7,8,9-Heptachlorodibenzofuran (TSP) STP"
16932,"3,3',4,4'-Tetrachlorobiphenyl (TSP) STP"
16933,"2,3',4,4',5-Pentachlorobiphenyl (TSP) STP"
16934,"2,3,3',4,4'-Pentachlorobiphenyl (TSP) STP"
16935,"3,3',4,4',5,5'-Hexachlorobiphenyl (TSP) STP"
16936,"2,2',3,3',4,4',5-Heptachlorobiphenyl (TSP) STP"
16937,"2,2',3,4,4',5,5'-Heptachlorobiphenyl (TSP) STP"
16938,1-Methylnapthalene
16939,"2,4'-Dichlorobiphenyl (TSP) STP"
16940,"4,4'-Dichlorobiphenyl (TSP) STP"
16941,"2,2',5-Trichlorobiphenyl (TSP) STP"
16942,"2,4,4'-Trichlorobiphenyl (TSP) STP"
16943,"2,4',5-Trichlorobiphenyl (TSP) STP"
16944,"3,4,4',5-Tetrachlorobiphenyl (TSP) STP"
16945,"2,3,4,4',5-Pentachlorobiphenyl (TSP) STP"
16946,"2,3',4,4',5'-Pentachlorobiphenyl (TSP) STP"
16947,"3,3',4,4',5-Pentachlorobiphenyl (TSP) STP"
16948,"2,3,3',4,4',5-Hexachlorobiphenyl (TSP) STP"
16949,"2,3,3',4,4',5'-Hexachlorobiphenyl (TSP) STP"
16950,"2,3',4,4',5,5',-Hexachlorobiphenyl (TSP) STP"
16951,"2,3,3',4,4',5,5'-Heptachlorobiphenyl"
16954,"2,3'-Dichlorobiphenyl (TSP) STP"
16956,"3,3'-Dichlorobiphenyl (TSP) STP"
16958,"2,2',6-Trichlorobiphenyl (TSP) STP"
16959,"2,3,4'-Trichlorobiphenyl (TSP) STP"
16960,"2,3',5-Trichlorobiphenyl (TSP) STP"
16961,"2,3',6-Trichlorobiphenyl (TSP) STP"
16962,"2,3',4'-Trichlorobiphenyl (TSP) STP"
16964,"2,2',3,3'-Tetrachlorobiphenyl (TSP) STP"
16966,"2,2',3,5'-Tetrachlorobiphenyl (TSP) STP"
16967,"2,2',3,6-Tetrachlorobiphenyl (TSP) STP"
16968,"2,2',3,6'-Tetrachlorobiphenyl (TSP) STP"
16970,"2,2',4,5'-Tetrachlorobiphenyl (TSP) STP"
16971,"2,2',5,5'-Tetrachlorobiphenyl (TSP) STP"
16972,"2,2',5,6'-Tetrachlorobiphenyl (TSP) STP"
16974,"2,3,4',5-Tetrachlorobiphenyl (TSP) STP"
16975,"2,3',4',5-Tetrachlorobiphenyl (TSP) STP"
16977,"2,4,4',5-Tetrachlorobiphenyl (TSP) STP"
16978,"2,2',3,3',5-Pentachlorobiphenyl (TSP) STP"
16979,"2,2',3,3',6-Pentachlorobiphenyl (TSP) STP"
16980,"2,2',3,4,4'-Pentachlorobiphenyl (TSP) STP"
16981,"2,2',3,4,5'-Pentachlorobiphenyl (TSP) STP"
16982,"2,2',3,4,6'-Pentachlorobiphenyl (TSP) STP"
16983,"2,2',3,4',6-Pentachlorobiphenyl (TSP) STP"
16984,"2,2',3,5,5'-Pentachlorobiphenyl (TSP) STP"
16985,"2,2',3,5',6-Pentachlorobiphenyl (TSP) STP"
16986,"2,2',3,4',5'-Pentachlorobiphenyl (TSP) STP"
16987,"2,2',4,4',5-Pentachlorobiphenyl (TSP) STP"
16988,"2,2',4,5,5'-Pentachlorobiphenyl (TSP) STP"
16989,"2,2',3,3',4,4'-Hexachlorobiphenyl (TSP) STP"
16990,"2,2',3,3',4,5'-Hexachlorobiphenyl (TSP) STP"
16993,"2,2',3,4,5,5'-Hexachlorobiphenyl (TSP) STP"
16994,"2,2',3,4',5,5'-Hexachlorobiphenyl (TSP) STP"
16995,"2,2',3,4',5',6-Hexachlorobiphenyl (TSP) STP"
16996,"2,2',3,5,5',6-Hexachlorobiphenyl (TSP) STP"
16998,"2,3,3',4,4',6-Hexachlorobiphenyl (TSP) STP"
17000,"2,2',3,3',4,5,5'-Heptachlorobiphenyl (TSP) STP"
17001,"2,2',3,3',4,5,6'-Heptachlorobiphenyl (TSP) STP"
17002,"2,2',3,3',4,5',6'-Heptachlorobiphenyl (TSP) STP"
17003,"2,2',3,3',5,5',6-Heptachlorobiphenyl (TSP) STP"
17005,"2,2',3,4,4',5',6-Heptachlorobiphenyl (TSP) STP"
17006,"2,2',3,4,5,5',6-Heptachlorobiphenyl (TSP) STP"
17007,"2,2',3,4',5,5',6-Heptachlorobiphenyl (TSP) STP"
17008,"2,3,3',4',5,5',6-Heptachlorobiphenyl (TSP) STP"
17009,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (TSP) STP"
17010,"2,2',3,3',4,5,5',6'-Octachlorobiphenyl (TSP) STP"
17011,"2,2',3,3',4,5',6,6'-Octachlorobiphenyl (TSP) STP"
17013,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (TSP) STP"
17018,Mixture PCB 4/10 (TSP) STP
17019,Mixture PCB 7/ 9 (TSP) STP
17020,Mixture PCB 15/17 (TSP) STP
17021,Mixture PCB 18/32 (TSP) STP
17022,Mixture PCB 28/31 (TSP) STP
17023,Mixture PCB 37/42 (TSP) STP
17024,Mixture PCB 41/71/64 (TSP) STP
17025,Mixture PCB 47/48 (TSP) STP
17026,Mixture PCB 56/60 (TSP) STP
17027,Mixture PCB 77/110 (TSP) STP
17028,Mixture PCB 105/132/153 (TSP) STP
17029,Mixture PCB 135/144 (TSP) STP
17030,Mixture PCB 138/163 (TSP) STP
17031,Mixture PCB 170/190 (TSP) STP
17032,Mixture PCB 171/202 (TSP) STP
17033,Mixture PCB 203/196 (TSP) STP
17034,Mixture PCB 208/195 (TSP) STP
17038,"2,3',4-Trichlorobiphenyl (TSP) STP"
17043,"2,3',4,4'-Tetrachlorobiphenyl (TSP) STP"
17044,"2,2',3,3',4-Pentachlorobiphenyl (TSP) STP"
17131,C2 Alkylbenzenes
17140,"2,7-dimethylnaphthalene (TSP) STP"
17141,Naphthalene (TSP) STP
17142,"2,6-dimethylnaphthalene (TSP) STP"
17143,"1,7-dimethylnaphthalene (TSP) STP"
17144,"1,2-Dimethylnaphthalene (TSP) STP"
17145,"2,3-dimethylnaphthalene (TSP) STP"
17146,"1,2-dimethylnaphthalene (TSP) STP"
17147,Acenaphthene (TSP) STP
17148,Acenaphthylene (TSP) STP
17149,Fluorene (TSP) STP
17150,Phenanthrene (TSP) STP
17151,Anthracene (TSP) STP
17152,"1,3-dinitropyrene (TSP) STP"
17153,1-nitropyrene (TSP) STP
17155,3-nitrofluoranthene (TSP) STP
17156,2-methylphenanthrene (TSP) STP
17157,1-methylphenanthrene (TSP) STP
17158,Retene (TSP) STP
17159,9-fluorenone (TSP) STP
17160,Cyclopenta[cd]pyrene (TSP) STP
17161,Fluorene-D10 (TSP) STP
17162,Fluoranthene-D10 (TSP) STP
17199,Polycyclic organic matter (TSP) STP
17201,Fluoranthene (TSP) STP
17202,Polynuclear aromatic hydrocarbons (TSP) STP
17204,Pyrene (TSP) STP
17205,Pyrene-D10 (TSP) STP
17208,Chrysene (TSP) STP
17210,Anthanthrene (TSP) STP
17211,Coronene (TSP) STP
17212,Perylene (TSP) STP
17215,Benzo[a]anthracene (TSP) STP
17220,Benzo[b]fluoranthene (TSP) STP
17223,Benzo[k]fluoranthene (TSP) STP
17224,Benzo[e]pyrene (TSP) STP
17225,"Benzo[b,k]fluoranthene (TSP) STP"
17231,"Dibenzo[a,h]anthracene (TSP) STP"
17237,"Benzo[g,h,i]perylene (TSP) STP"
17241,Benzo[a]pyrene-D12 (TSP) STP
17242,Benzo[a]pyrene (TSP) STP
